Identifier,%
1,85.56
2,72.22
3,82.22
4,75.56
5,73.33
6,70
7,75.56
8,86.67
9,58.89
10,76.67
11,58.89
12,77.78
13,81.11
14,70
15,81.11
16,78.89
17,83.33
18,73.33
19,82.22
20,86.67
21,72.22
22,71.11
23,71.11
24,76.67
25,71.11
26,74.44
27,72.22
28,77.78
29,60
30,85.56
31,84.44
32,57.78
33,83.33
34,47.78
35,53.33
36,85.56
37,84.44
38,64.44
39,80
40,61.11
41,90
42,78.89
43,78.89
44,65.56
45,88.89
46,65.56
47,82.22
48,85.56
49,76.67
50,72.22
51,95.56
52,52.22
53,60
54,73.33
55,74.44
56,66.67
57,83.33
58,87.78
59,86.67
60,64.44
61,74.44
62,81.11
63,85.56
64,87.78
65,88.89
66,86.67
67,53.33
68,50
69,71.11
70,62.22
71,57.78
72,66.67
73,87.78
74,78.89
75,66.67
76,77.78
77,85.56
78,84.44
79,81.11
80,85.56
81,85.56
82,72.22
83,80
84,83.33
85,81.11
86,64.44
87,90
88,88.89
89,65.56
90,68.89
91,84.44
92,72.22
93,91.11
94,77.78
95,84.44
96,83.33
97,80
98,88.89
99,88.89
100,86.67
101,81.11
102,57.78
103,70
104,63.33
105,94.44
106,83.33
107,68.89
108,62.22
109,73.33
110,85.56
111,77.78
112,87.78
113,52.22
114,67.78
115,85.56
116,72.22
117,82.22
118,65.56
119,73.33
120,86.67
121,72.22
122,68.89
123,84.44
124,81.11
125,88.89
126,66.67
127,82.22
128,84.44
129,76.67
130,74.44
131,85.56
132,78.89
133,83.33
134,78.89
135,92.22
136,75.56
137,84.44
138,88.89
139,61.11
140,78.89
141,88.89
142,78.89
143,87.78
144,80
145,73.33
146,82.22
147,72.22
148,84.44
149,68.89
150,66.67
151,83.33
152,71.11
153,85.56
154,64.44
155,80
156,83.33
157,82.22
158,68.89
159,72.22
160,78.89
161,62.22
162,57.78
163,88.89
164,92.22
165,74.44
166,71.11
167,84.44
168,78.89
169,84.44
170,81.11
171,70
172,73.33
173,77.78
174,78.89
175,87.78
176,72.22
177,90
178,87.78
179,66.67
180,82.22
181,80
182,72.22
183,77.78
184,82.22
185,64.44
186,86.67
187,88.89
188,56.67
189,74.44
190,76.67
191,81.11
192,87.78
193,71.11
194,61.11
195,70
196,87.78
197,81.11
198,85.56
199,86.67
200,78.89
201,68.89
202,84.44
203,87.78
204,70
205,76.67
206,62.22
207,61.11
208,81.11
209,88.89
210,72.22
211,80
212,80
213,68.89
214,84.44
215,75.56
216,63.33
217,68.89
218,80
219,77.78
220,73.33
221,61.11
222,83.33
223,76.67
224,84.44
225,84.44
226,60
227,85.56
228,52.22
229,77.78
230,73.33
231,93.33
232,67.78
233,72.22
234,50
235,78.89
236,81.11
237,76.67
238,62.22
239,65.56
240,82.22
241,78.89
242,62.22
243,84.44
244,77.78
245,57.78
246,54.44
247,87.78
248,78.89
249,60
250,63.33
251,80
252,80
253,84.44
254,72.22
255,78.89
256,75.56
257,71.11
258,72.22
259,75.56
260,67.78
261,80
262,74.44
263,80
264,63.33
265,86.67
266,77.78
267,83.33
268,77.78
269,74.44
270,77.78
271,68.89
272,70
273,86.67
274,81.11
275,75.56
276,86.67
277,68.89
278,81.11
279,90
280,67.78
281,73.33
282,83.33
283,75.56
284,88.89
285,78.89
286,80
287,72.22
288,68.89
289,83.33
290,66.67
291,76.67
292,76.67
293,61.11
294,71.11
295,77.78
296,80
297,82.22
298,74.44
299,83.33
300,76.67
301,76.67
302,68.89
303,74.44
304,73.33
305,77.78
306,67.78
307,87.78
308,64.44
309,76.67
310,75.56
311,68.89
312,85.56
313,74.44
314,63.33
315,57.78
316,84.44
317,78.89
318,61.11
319,86.67
320,80
321,66.67
322,64.44
323,80
324,82.22
325,73.33
326,76.67
327,77.78
328,80
329,77.78
330,74.44
331,92.22
332,68.89
333,80
334,80
335,75.56
336,90
337,61.11
338,63.33
339,80
340,68.89
341,86.67
342,83.33
343,77.78
344,72.22
345,78.89
346,67.78
347,82.22
348,68.89
349,77.78
350,78.89
351,70
352,47.78
353,76.67
354,64.44
355,76.67
356,78.89
357,82.22
358,58.89
359,70
360,62.22
361,85.56
362,68.89
363,86.67
364,83.33
365,63.33
366,82.22
367,78.89
368,76.67
369,63.33
370,81.11
371,81.11
372,87.78
373,71.11
374,67.78
375,82.22
376,67.78
377,64.44
378,76.67
379,60
380,81.11
381,70
382,75.56
383,84.44
384,76.67
385,57.78
386,58.89
387,71.11
388,82.22
389,78.89
390,75.56
391,67.78
392,83.33
393,73.33
394,52.22
395,81.11
396,80
397,76.67
398,85.56
399,67.78
400,68.89
401,80
402,82.22
403,83.33
404,56.67
405,73.33
406,57.78
407,65.56
408,55.56
409,81.11
410,72.22
411,77.78
412,85.56
413,45.56
414,68.89
415,68.89
416,90
417,76.67
418,56.67
419,77.78
420,58.89
421,78.89
422,83.33
423,83.33
424,90
425,85.56
426,80
427,54.44
428,74.44
429,71.11
430,47.78
431,75.56
432,63.33
433,75.56
434,75.56
435,73.33
436,87.78
437,81.11
438,68.89
439,82.22
440,88.89
441,88.89
442,60
443,81.11
444,85.56
445,74.44
446,82.22
447,73.33
448,67.78
449,90
450,63.33
451,78.89
452,56.67
453,63.33
454,88.89
455,55.56
456,74.44
457,81.11
458,63.33
459,77.78
460,68.89
461,74.44
462,86.67
463,82.22
464,74.44
465,76.67
466,74.44
467,78.89
468,75.56
469,78.89
470,76.67
